accesso;annoaccademico;campus;cod_scuola;corso_codice;corso_descrizione;durata;immatricolabile;internazionale;lingue;scuola;sededidattica;tipologia;url
numero chiuso;2016/2017;Bologna;7;979;Lingue e letterature straniere [L];3;True;;Italiano;Lingue e Letterature, Traduzione e Interpretazione;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0979
numero chiuso;2016/2017;Bologna;7;980;Lingue, mercati e culture dell'asia [L];3;True;;Italiano;Lingue e Letterature, Traduzione e Interpretazione;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0980
numero chiuso;2016/2017;Forli;7;8059;Mediazione linguistica interculturale [L];3;True;;Italiano;Lingue e Letterature, Traduzione e Interpretazione;Forli;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8059
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;7;981;Letterature moderne, comparate e postcoloniali [LM];2;True;;Italiano;Lingue e Letterature, Traduzione e Interpretazione;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0981
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;7;983;Lingua e cultura italiane per stranieri [LM];2;True;;Italiano;Lingue e Letterature, Traduzione e Interpretazione;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0983
numero chiuso;2016/2017;Forli;7;8060;Interpretazione [LM];2;True;;Italiano;Lingue e Letterature, Traduzione e Interpretazione;Forli;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8060
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;7;8874;Language, society and communication [LM];2;True;interamente internazionale;Inglese;Lingue e Letterature, Traduzione e Interpretazione;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8874
numero chiuso;2016/2017;Forli;7;9174;Specialized translation [LM];2;True;interamente internazionale;Inglese;Lingue e Letterature, Traduzione e Interpretazione;Forli;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9174
