accesso;annoaccademico;campus;cod_scuola;corso_codice;corso_descrizione;durata;immatricolabile;internazionale;lingue;scuola;sededidattica;tipologia;url
numero chiuso;2016/2017;Bologna;5;925;Ingegneria gestionale [L];3;True;;Italiano;Ingegneria e Architettura;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0925
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;5;936;Ingegneria gestionale [LM];2;True;;Italiano;Ingegneria e Architettura;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0936
numero chiuso;2016/2017;Bologna;5;926;Ingegneria informatica [L];3;True;;Italiano;Ingegneria e Architettura;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0926
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;5;937;Ingegneria informatica [LM];2;True;;Italiano;Ingegneria e Architettura;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0937
numero chiuso;2016/2017;Bologna;5;927;Ingegneria meccanica [L] (Bologna);3;True;;Italiano;Ingegneria e Architettura;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0927
numero chiuso;2016/2017;Forli';5;949;Ingegneria meccanica [L] (Forli);3;True;;Italiano;Ingegneria e Architettura;Forli';Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0949
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;5;938;Ingegneria meccanica [LM] (Bologna);2;True;;Italiano;Ingegneria e Architettura;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0938
numero chiuso;2016/2017;Forli';5;8771;Ingegneria meccanica [LM] (Forli);2;True;;Italiano;Ingegneria e Architettura;Forli';Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8771
numero chiuso;2016/2017;Bologna;5;9198;Ingegneria per l'ambiente e il territorio [L];3;True;;Italiano;Ingegneria e Architettura;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9198
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;5;8894;Ingegneria per l'ambiente e il territorio [LM];2;True;uno o pi� curricula internazionali;Italiano Inglese;Ingegneria e Architettura;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8894
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;5;9205;Telecommunications engineering [LM];2;True;interamente internazionale;Inglese;Ingegneria e Architettura;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9205
