"";"Collettivo selezionato";"architettura e processo edilizio (L-23)";"attuazione e gestione del progetto in architettura (4)(1) ";"ingegneria aerospaziale (10)(1) ";"ingegneria aerospaziale (L-9)";"ingegneria biomedica (9)(1) ";"ingegneria biomedica (L-8)";"ingegneria chimica e biochimica (L-9)";"ingegneria civile (8)";"ingegneria civile (L-7)";"ingegneria dei processi gestionali (9)(1) ";"ingegneria dell'automazione (9)(1) ";"ingegneria dell'automazione (L-8)";"ingegneria delle telecomunicazioni - sede di Bologna (9)(1) ";"ingegneria dell'energia elettrica (L-9)";"ingegneria edile (4)";"ingegneria edile (L-23)";"ingegneria elettrica (10)(1) ";"ingegneria elettronica (9)(1) ";"ingegneria elettronica e delle telecomunicazioni (9)(1) ";"ingegneria elettronica e telecomunicazioni (L-8)";"ingegneria elettronica per l'energia e l'informazione - già ingegneria dei sistemi elettronici per lo sviluppo sostenibile (L-8)";"ingegneria elettronica, informatica e telecomunicazioni (L-8)(1) ";"ingegneria energetica (10)(1) ";"ingegneria energetica (L-9)";"ingegneria gestionale (10)";"ingegneria gestionale (L-9)";"ingegneria informatica - sede di Bologna (9)";"ingegneria informatica - sede di Cesena (9)(1) ";"ingegneria informatica (L-8)";"ingegneria meccanica - sede di Bologna (10)";"ingegneria meccanica - sede di Bologna (L-9)";"ingegneria meccanica - sede di Forlì (10)(1) ";"ingegneria meccanica - sede di Forlì (L-9)";"ingegneria per l'ambiente e il territorio (8)";"ingegneria per l'ambiente e il territorio (L-7)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"part-time";"28,1";"65,5";"*";"*";"26,7";"*";"45,6";"20,4";"16,7";"22,0";"*";"*";"27,9";"*";"25,8";"50,0";"39,4";"*";"*";"*";"53,8";"40,9";"*";"*";"23,4";"44,4";"23,8";"33,3";"*";"25,4";"25,0";"21,1";"*";"13,6";"66,7";"23,7"
"CONTRATTO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"tempo indeterminato";"88,5";"86,2";"*";"*";"80,0";"*";"91,2";"90,7";"100,0";"84,8";"*";"*";"88,4";"*";"96,8";"100,0";"98,6";"*";"*";"*";"88,5";"93,2";"*";"*";"86,2";"100,0";"86,9";"88,9";"*";"91,5";"62,5";"88,1";"*";"88,6";"83,3";"86,8"
"tempo determinato";"29,6";"34,5";"*";"*";"36,7";"*";"43,9";"24,1";"16,7";"22,7";"*";"*";"27,9";"*";"35,5";"37,5";"42,3";"*";"*";"*";"34,6";"25,0";"*";"*";"22,8";"33,3";"35,9";"11,1";"*";"35,6";"25,0";"21,1";"*";"18,2";"33,3";"26,3"
"collaborazione (compreso lavoro a progetto)";"26,4";"37,9";"*";"*";"20,0";"*";"33,3";"25,9";"16,7";"29,5";"*";"*";"16,3";"*";"32,3";"37,5";"36,6";"*";"*";"*";"26,9";"25,0";"*";"*";"24,8";"44,4";"30,1";"11,1";"*";"20,3";"25,0";"27,5";"*";"6,8";"16,7";"18,4"
"inserimento (ex formazione e lavoro)";"20,4";"20,7";"*";"*";"20,0";"*";"33,3";"29,6";"16,7";"14,4";"*";"*";"18,6";"*";"25,8";"25,0";"26,8";"*";"*";"*";"23,1";"20,5";"*";"*";"13,1";"44,4";"26,2";"11,1";"*";"13,6";"25,0";"21,1";"*";"11,4";"16,7";"15,8"
"stage";"18,7";"3,4";"*";"*";"16,7";"*";"33,3";"25,9";"16,7";"16,7";"*";"*";"9,3";"*";"29,0";"12,5";"25,4";"*";"*";"*";"19,2";"9,1";"*";"*";"12,4";"44,4";"25,2";"11,1";"*";"10,2";"12,5";"21,1";"*";"9,1";"-";"18,4"
"apprendistato";"16,2";"17,2";"*";"*";"20,0";"*";"26,3";"22,2";"-";"15,2";"*";"*";"14,0";"*";"25,8";"12,5";"21,1";"*";"*";"*";"15,4";"9,1";"*";"*";"11,0";"44,4";"18,0";"-";"*";"10,2";"12,5";"20,2";"*";"9,1";"16,7";"13,2"
"lavoro interinale";"11,3";"3,4";"*";"*";"10,0";"*";"19,3";"14,8";"16,7";"9,1";"*";"*";"4,7";"*";"22,6";"25,0";"19,7";"*";"*";"*";"15,4";"9,1";"*";"*";"4,8";"22,2";"13,6";"11,1";"*";"8,5";"12,5";"11,9";"*";"6,8";"-";"10,5"
"telelavoro";"7,5";"10,3";"*";"*";"-";"*";"15,8";"5,6";"16,7";"7,6";"*";"*";"7,0";"*";"3,2";"25,0";"9,9";"*";"*";"*";"19,2";"-";"*";"*";"3,4";"11,1";"7,8";"-";"*";"13,6";"-";"8,3";"*";"2,3";"16,7";"7,9"
