corso_codice;materia_codice;materia_descrizione;url;tipo;componente_id
8004;27214;ESPERIMENTAZIONI DI FISICA 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320635;;320635
8004;27215;FISICA GENERALE 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320636;;320636
8004;537;ISTITUZIONI DI FISICA MATEMATICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320637;;320637
8004;27216;CALCOLO PER L'ASTRONOMIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320638;;320638
8004;27217;ASTROFISICA STELLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320639;;320639
8004;27218;ASTROFISICA EXTRAGALATTICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320640;;320640
8004;539;ISTITUZIONI DI FISICA TEORICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320642;;320642
8004;17268;PROVA FINALE;;;320646
8004;27220;ATOMI E MOLECOLE NEL COSMO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320648;;320648
8004;3391;MECCANICA CELESTE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320649;;320649
8004;9224;MECCANICA DEI CONTINUI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320650;;320650
8004;58273;TECNICHE DI ANALISI DATI ASTRONOMICI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320652;;320652
8004;3410;STORIA DELL'ASTRONOMIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320653;;320653
8004;67099;ATTIVITA' PROFESSIONALIZZANTE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/368088;;368088
8004;67100;PROCESSI DI RADIAZIONE E MHD;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/368092;;368092
8004;67111;ATMOSFERE PLANETARIE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/368200;;368200
8004;67114;STRUTTURA DELLA MATERIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/368202;;368202
