Scuola;Dipartimento;Sede;tipo corso;Corsi di laurea;latitude;longitude;indirizzo
ingegneria;dei;cesena;LM;Ingegneria Elettronica e Telecomunicazioni per l'Energia;44.143352;12.241587;Via Spinelli 176, Cesena
ingegneria;dei;cesena;LT;Ingegneria elettronica per l'energia e l'informazione;44.151295;12.241249;Via Venezia 42, Cesena
ingegneria;dei;cesena;LT;Ingegneria elettronica per l'energia e l'informazione;44.151875;12.240651;Via Genova 181, Cesena
ingegneria;dei;cesena;LT;Ingegneria Biomedica;44.151875;12.240651;Via Genova 181, Cesena
ingegneria;dei;cesena;LT;Ingegneria Biomedica;44.143352;12.241587;Via Spinelli 176, Cesena
ingegneria;dei;cesena;LT;Ingegneria Biomedica;44.151295;12.241249;Via Venezia 42, Cesena
ingegneria;dei;bologna;LM;Automation Engeneering;44.488113;11.328422;Viale Risorgimento 2, Bologna
ingegneria;dei;cesena;LM;Ingegneria Biomedica;44.143352;12.241587;Via Spinelli 176, Cesena
ingegneria;dei;cesena;LM;Ingegneria Biomedica;44.151295;12.241249;Via Venezia 42, Cesena
ingegneria;dei;bologna;LM;Telecommunications Engeneering;44.488113;11.328422;Viale Risorgimento 2, Bologna
ingegneria;architettura;bologna;LM;Advanced Design;44.490224;11.336308;Via Saragozza 8, Bologna
