annoaccademico;immatricolabile;cod_scuola;corso_codice;corso_descrizione;url;campus;sededidattica;scuola;tipologia;durata;lingue;internazionale;accesso
2016/2017;True;4;659;Giurisprudenza (Bologna);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0659;Bologna;Bologna;Giurisprudenza;Laurea Magistrale a ciclo unico;5;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;True;4;660;Giurisprudenza (Ravenna);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0660;Ravenna;Ravenna;Giurisprudenza;Laurea Magistrale a ciclo unico;5;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;True;4;915;Consulente del lavoro e delle relazioni aziendali;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0915;Bologna;Bologna;Giurisprudenza;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;True;4;916;Giurista d'impresa e delle amministrazioni pubbliche;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0916;Ravenna;Ravenna;Giurisprudenza;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
