annoaccademico;immatricolabile;cod_scuola;corso_codice;corso_descrizione;url;campus;sededidattica;scuola;tipologia;durata;lingue;internazionale;accesso
2016/2017;True;7;979;Lingue e letterature straniere;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0979;Bologna;Bologna;Lingue e Letterature, Traduzione e Interpretazione;Laurea;3;Italiano;;numero chiuso
2016/2017;True;7;980;Lingue, mercati e culture dell'asia;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0980;Bologna;Bologna;Lingue e Letterature, Traduzione e Interpretazione;Laurea;3;Italiano;;numero chiuso
2016/2017;True;7;981;Letterature moderne, comparate e postcoloniali;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0981;Bologna;Bologna;Lingue e Letterature, Traduzione e Interpretazione;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;7;983;Lingua e cultura italiane per stranieri;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0983;Bologna;Bologna;Lingue e Letterature, Traduzione e Interpretazione;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;7;8059;Mediazione linguistica interculturale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8059;Forlì;Forlì;Lingue e Letterature, Traduzione e Interpretazione;Laurea;3;Italiano;;numero chiuso
2016/2017;True;7;8060;Interpretazione;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8060;Forlì;Forlì;Lingue e Letterature, Traduzione e Interpretazione;Laurea Magistrale;2;Italiano;;numero chiuso
2016/2017;True;7;8874;Language, society and communication ;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8874;Bologna;Bologna;Lingue e Letterature, Traduzione e Interpretazione;Laurea Magistrale;2;Inglese;interamente internazionale;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;7;9174;Specialized translation;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9174;Forlì;Forlì;Lingue e Letterature, Traduzione e Interpretazione;Laurea Magistrale;2;Inglese;interamente internazionale;numero chiuso
